"","last_team","player_id","player","teams","seasons","first","last","headshot","...1","team_id","division"
"41","CWRU",24380,"Abbey Filliez","CWRU","2016","Abbey","Filliez",NA,645,122,"D-III"
"42","Smith",24854,"Abbey Fletcher","Smith","2022+2023+2024","Abbey","Fletcher",NA,923,644,"D-III"
"43","Berry",26849,"Abbey Gamble","Berry","2019+2020+2024+2022+2021","Abbey","Gamble",NA,629,973,"D-III"
"44","Luther",26955,"Abbey Gapinski","Luther","2019+2020+2024+2022+2021","Abbey","Gapinski",NA,781,372,"D-III"
"45","LaGrange",27224,"Abbey Gardner","LaGrange","2020+2024+2022+2023+2021","Abbey","Gardner",NA,768,1162,"D-III"
"46","Saint Vincent",28488,"Abbey Ginter","Saint Vincent","2019+2020+2024+2022","Abbey","Ginter",NA,910,30064,"D-III"
"47","Hamline",34127,"Abbey Herbert","Hamline","2023+2024+2025","Abbey","Herbert",NA,733,268,"D-III"
"48","Westminster (MO)",38312,"Abbey Jaspering","Westminster (MO)","2019+2021+2022+2020+2024","Abbey","Jaspering",NA,986,1450,"D-III"
"49","Saint Mary's (MN)",41107,"Abbey Killian","Saint Mary's (MN)","2016+2017","Abbey","Killian",NA,909,612,"D-III"
"50","Grinnell",47829,"Abbey Mahnke","Grinnell","2018","Abbey","Mahnke",NA,727,264,"D-III"
"51","Franklin",48853,"Abbey Martin","Neb.-Kearney + Franklin","2017+2018+2024","Abbey","Martin",NA,717,2694,"D-III"
"52","Millikin",49600,"Abbey Matthews","Millikin","2025","Abbey","Matthews",NA,814,424,"D-III"
"53","Wesley",49909,"Abbey Mayse","Wesley","2018+2019+2020+2024+2021","Abbey","Mayse",NA,NA,NA,"D-III"
"54","Heidelberg",51055,"Abbey Mckee","Heidelberg","2016+2017+2018","Abbey","Mckee",NA,739,278,"D-III"
"55","Aurora",52760,"Abbey Miller","Aurora","2020+2024+2022+2023","Abbey","Miller",NA,618,42,"D-III"
"56","St. Scholastica",53023,"Abbey Millerbernd","St. Scholastica","2016","Abbey","Millerbernd",NA,938,618,"D-III"
"57","Plymouth St.",56382,"Abbey Nezuch","Plymouth St.","2023+2024+2025","Abbey","Nezuch",NA,869,548,"D-III"
"58","Wis.-Eau Claire",61554,"Abbey Place","Wis.-Eau Claire","2018+2019+2020+2024","Abbey","Place",NA,1000,793,"D-III"
"59","Carnegie Mellon",64213,"Abbey Reese","Carnegie Mellon","2022+2023+2024+2025","Abbey","Reese",NA,653,119,"D-III"
"60","CWRU",67880,"Abbey Rzeszutko","CWRU","2024+2022+2023+2025","Abbey","Rzeszutko",NA,645,122,"D-III"
"61","FDU-Florham",69134,"Abbey Scarengelli","FDU-Florham","2018+2019+2020+2024+2021","Abbey","Scarengelli",NA,710,221,"D-III"
"62","St. Olaf",72588,"Abbey Smith","Auburn + St. Olaf","2022+2023+2024+2025+2016","Abbey","Smith",NA,937,615,"D-III"
"63","Marywood",74210,"Abbey Stalter","Marywood","2024+2022+2023","Abbey","Stalter",NA,802,397,"D-III"
"64","Hardin-Simmons",76622,"Abbey Tarr","Hardin-Simmons","2025+2023+2024","Abbey","Tarr",NA,735,271,"D-III"
"65","Crown (MN)",79416,"Abbey Underadahl","Crown (MN)","2022+2023+2024","Abbey","Underadahl",NA,681,30035,"D-III"
"66","Crown (MN)",79418,"Abbey Underdahl","Crown (MN)","2025","Abbey","Underdahl",NA,681,30035,"D-III"
"67","Guilford",83224,"Abbey Whelan","Guilford","2025","Abbey","Whelan",NA,729,1112,"D-III"
"68","SUNY Geneseo",83520,"Abbey Whitney","SUNY Geneseo","2017+2018+2019","Abbey","Whitney",NA,899,247,"D-III"
"69","Westfield St.",85243,"Abbey Woodward","Westfield St.","2025","Abbey","Woodward",NA,985,777,"D-III"
"70","Buena Vista",86114,"Abbey Youngren","Buena Vista","2017+2018","Abbey","Youngren",NA,642,84,"D-III"
"71","La Verne",1266,"Abbi Almont","La Verne","2024","Abbi","Almont",NA,767,341,"D-III"
"72","Bethel (MN)",4379,"Abbi Bates","Bethel (MN)","2022+2023+2024","Abbi","Bates",NA,632,60,"D-III"
"73","William Peace",14553,"Abbi Colclough","William Peace","2020","Abbi","Colclough",NA,995,17094,"D-III"
"74","Springfield",15081,"Abbi Conley","Springfield","2018+2019+2020+2024","Abbi","Conley",NA,928,673,"D-III"
"75","Elmhurst",17913,"Abbi Davis","Elmhurst","2022","Abbi","Davis",NA,702,212,"D-III"
"76","Cairn",33407,"Abbi Heacock","Cairn","2022+2023+2024+2025","Abbi","Heacock",NA,647,1305,"D-III"
"77","Oakland City",38232,"Abbi Jaquess","Oakland City","2020","Abbi","Jaquess",NA,NA,NA,"D-III"
"78","Penn St.-Abington",46193,"Abbi Long","Penn St.-Abington","2022","Abbi","Long",NA,860,30114,"D-III"
"79","Randolph",59049,"Abbi Pannill","Randolph","2017+2018+2019+2020","Abbi","Pannill",NA,876,566,"D-III"
"80","Adrian",59648,"Abbi Patton","Adrian","2022+2023+2024+2025","Abbi","Patton",NA,600,4,"D-III"
"81","Viterbo",75336,"Abbi Strait","Viterbo","2017","Abbi","Strait",NA,NA,NA,"D-III"
"82","Millsaps",79274,"Abbi Tycer","Millsaps","2022","Abbi","Tycer",NA,815,426,"D-III"
"83","Puget Sound",85026,"Abbi Wong","Puget Sound","2021+2022+2019+2020+2024","Abbi","Wong",NA,872,557,"D-III"
"84","Carroll (MT)",1497,"Abbie Amend","Carroll (MT)","2024+2023","Abbie","Amend",NA,NA,NA,"D-III"
"85","Hamline",1971,"Abbie Annen","Hamline","2016+2017+2018","Abbie","Annen",NA,733,268,"D-III"
"86","George Fox",5619,"Abbie Bergerson","George Fox","2016+2017+2018","Abbie","Bergerson",NA,722,1094,"D-III"
"87","Rochester (NY)",6099,"Abbie Biggs","Rochester (NY)","2020+2024+2022+2021","Abbie","Biggs",NA,886,581,"D-III"
"88","Bethel (MN)",6226,"Abbie Bircher","Bethel (MN)","2016","Abbie","Bircher",NA,632,60,"D-III"
"89","Sewanee",9688,"Abbie Buckner","Sewanee","2024+2025","Abbie","Buckner",NA,918,652,"D-III"
"90","Crown (MN)",12008,"Abbie Carroll","Crown (MN)","2024+2022+2023+2025+2021","Abbie","Carroll",NA,681,30035,"D-III"
"91","Lake Forest",12364,"Abbie Caskey","Lake Forest","2024+2022","Abbie","Caskey",NA,769,344,"D-III"
"92","St. Scholastica",16373,"Abbie Crawford","North Georgia + St. Scholastica","2019+2020+2021+2024+2022","Abbie","Crawford",NA,938,618,"D-III"
"93","Keuka",19290,"Abbie Derock","Keuka","2025","Abbie","Derock",NA,762,1159,"D-III"
"94","Heidelberg",24478,"Abbie Finnell","Heidelberg","2016","Abbie","Finnell",NA,739,278,"D-III"
"95","Mount Union",27658,"Abbie Gayner","Mount Union","2025","Abbie","Gayner",NA,825,452,"D-III"
"96","St. Joseph's (ME)",30138,"Abbie Green-sermak","St. Joseph's (ME)","2024+2023+2025","Abbie","Green-sermak",NA,933,605,"D-III"
"97","Guilford",34809,"Abbie Hill","Guilford","2020+2024+2022+2023","Abbie","Hill",NA,729,1112,"D-III"
"98","Neb. Wesleyan",34968,"Abbie Hillmer","Neb. Wesleyan","2018","Abbie","Hillmer",NA,834,462,"D-III"
"99","Centenary (NJ)",40171,"Abbie Kay","Centenary (NJ)","2017","Abbie","Kay",NA,659,12884,"D-III"
"100","Lake Forest",45276,"Abbie Lewis","Lake Forest","2025","Abbie","Lewis",NA,769,344,"D-III"
"101","Heidelberg",48759,"Abbie Marshall","Heidelberg","2025","Abbie","Marshall",NA,739,278,"D-III"
"102","Salve Regina",50627,"Abbie Mcdonough","Salve Regina","2024+2022","Abbie","Mcdonough",NA,914,623,"D-III"
"103","Alfred St.",52748,"Abbie Millard","Alfred St.","2025","Abbie","Millard",NA,606,30170,"D-III"
"104","Urbana",53911,"Abbie Moon","Urbana","2016","Abbie","Moon",NA,NA,NA,"D-III"
"105","Central Methodist",55879,"Abbie Neally","Central Methodist","2024+2021","Abbie","Neally",NA,NA,NA,"D-III"
"106","Northwestern-St. Paul",55992,"Abbie Nelson","Northwestern-St. Paul","2017+2018+2019","Abbie","Nelson",NA,843,30031,"D-III"
"107","Stevenson",60698,"Abbie Peterson","Stevenson","2022+2023","Abbie","Peterson",NA,941,21852,"D-III"
"108","SUNY Morrisville",61588,"Abbie Platt","SUNY Morrisville","2024+2025","Abbie","Platt",NA,901,30067,"D-III"
"109","Marymount (VA)",62129,"Abbie Potter","Marymount (VA)","2022","Abbie","Potter",NA,800,394,"D-III"
"110","Fitchburg St.",66140,"Abbie Roderick","Fitchburg St.","2020","Abbie","Roderick",NA,713,227,"D-III"
"111","Lakeland",69472,"Abbie Schmidt","Lakeland","2023","Abbie","Schmidt",NA,770,1164,"D-III"
"112","Saint Mary's (MN)",74962,"Abbie Stigler","Saint Mary's (MN)","2023+2024+2025","Abbie","Stigler",NA,909,612,"D-III"
"113","Baldwin Wallace",77478,"Abbie Thompson","Baldwin Wallace","2017+2016+2018+2019","Abbie","Thompson",NA,622,46,"D-III"
"114","Simpson",80057,"Abbie Vanvleet","Simpson","2016","Abbie","Vanvleet",NA,921,641,"D-III"
"115","Central (IA)",80942,"Abbie Voas","Central (IA)","2017+2016","Abbie","Voas",NA,660,126,"D-III"
"116","Coe",83285,"Abbie White","Coe","2022+2023+2024+2025","Abbie","White",NA,671,150,"D-III"
"117","Guilford",85351,"Abbie Worsham","Guilford","2017+2018+2019","Abbie","Worsham",NA,729,1112,"D-III"
"118","Pfeiffer",85735,"Abbie Yarboro","Pfeiffer","2023+2024","Abbie","Yarboro",NA,864,542,"D-III"
"119","Cal Lutheran",36389,"Abbigael Howard","Cal Lutheran","2016+2017+2018","Abbigael","Howard",NA,648,105,"D-III"
"120","Muskingum",3167,"Abbigail Bailey","Muskingum","2022","Abbigail","Bailey",NA,829,455,"D-III"
"121","Medaille",20290,"Abbigail Doherty","Medaille","2022+2019+2020+2024+2023","Abbigail","Doherty",NA,NA,NA,"D-III"
"122","USciences",48571,"Abbigail Markee","USciences","2021+2022","Abbigail","Markee",NA,NA,NA,"D-III"
"123","Utica",24398,"Abbigayle Finch","Utica","2024+2022+2023","Abbigayle","Finch",NA,964,733,"D-III"
"124","Utica",38545,"Abbigayle Jepsen","Utica","2022","Abbigayle","Jepsen",NA,964,733,"D-III"
"125","Mary Washington",218,"Abby Acors","Mary Washington","2017","Abby","Acors",NA,799,390,"D-III"
"126","Mount Aloysius",271,"Abby Adair","Mount Aloysius","2024+2021","Abby","Adair",NA,822,30036,"D-III"
"127","Cedar Crest",294,"Abby Adams","La Roche + Cedar Crest","2016+2025","Abby","Adams",NA,657,14795,"D-III"
"128","Wis. Lutheran",744,"Abby Akright","Wis. Lutheran","2016+2017","Abby","Akright",NA,999,8911,"D-III"
"129","Bowdoin",1077,"Abby Allen","South Alabama + Cal St. San Marcos + Bowdoin","2021+2022+2023+2016+2020+2024","Abby","Allen",NA,636,69,"D-III"
"130","Penn St.-Altoona",1188,"Abby Allenbaugh","Penn St.-Altoona","2019+2020","Abby","Allenbaugh",NA,861,25719,"D-III"
"131","Fontbonne",1285,"Abby Alonzo","Fontbonne","2022+2023+2024+2025","Abby","Alonzo",NA,714,11538,"D-III"
"132","Keystone",1956,"Abby Aniska","Keystone","2017+2018","Abby","Aniska",NA,763,30047,"D-III"
"133","Western New Eng.",2069,"Abby Apkarian","Western New Eng.","2024","Abby","Apkarian",NA,984,775,"D-III"
"134","Denison",2136,"Abby Arabia","Denison","2024+2022+2023","Abby","Arabia",NA,689,182,"D-III"
"135","Keiser",2238,"Abby Arend","Keiser","2024","Abby","Arend",NA,NA,NA,"D-III"
"136","Neb. Wesleyan",2310,"Abby Armentrout","Neb. Wesleyan","2019+2020+2024+2022","Abby","Armentrout",NA,834,462,"D-III"
"137","Catholic",2648,"Abby Atkins","Catholic","2023+2024","Abby","Atkins",NA,656,124,"D-III"
"138","Buffalo St.",3025,"Abby Bachman","Buffalo St.","2018","Abby","Bachman",NA,643,85,"D-III"
"139","Wittenberg",3293,"Abby Baker","Wittenberg","2016+2017","Abby","Baker",NA,1008,806,"D-III"
"140","Suffolk",3911,"Abby Barnaby","Suffolk","2025","Abby","Barnaby",NA,943,684,"D-III"
"141","Heidelberg",4033,"Abby Barno","Heidelberg","2016+2017+2018+2019","Abby","Barno",NA,739,278,"D-III"
"142","Westminster (MO)",4243,"Abby Bartley","Westminster (MO)","2016","Abby","Bartley",NA,986,1450,"D-III"
"143","Saint Vincent",4467,"Abby Bauer","Saint Vincent","2025","Abby","Bauer",NA,910,30064,"D-III"
"144","Edgewood",4533,"Abby Baumgartner","Edgewood","2017","Abby","Baumgartner",NA,700,1066,"D-III"
"145","Arizona Christian",4719,"Abby Beasley","Arizona Christian","2016","Abby","Beasley",NA,NA,NA,"D-III"
"146","UMass Dartmouth",4933,"Abby Bedient","UMass Dartmouth","2024+2022+2021","Abby","Bedient",NA,960,656,"D-III"
"147","Alfred St.",5044,"Abby Beidel","Alfred St.","2022+2023+2024+2025","Abby","Beidel",NA,606,30170,"D-III"
"148","MCLA",6235,"Abby Bird","MCLA","2023+2024","Abby","Bird",NA,785,486,"D-III"
"149","Jamestown",6493,"Abby Blair","Jamestown","2024+2025","Abby","Blair",NA,NA,NA,"D-III"
"150","Widener",6529,"Abby Blake","Widener","2022+2024","Abby","Blake",NA,992,783,"D-III"
"151","Maranatha Baptist",6958,"Abby Boelke","Maranatha Baptist","2022","Abby","Boelke",NA,793,1194,"D-III"
"152","Greenville",7070,"Abby Boland","Greenville","2024+2025","Abby","Boland",NA,726,1111,"D-III"
"153","Spalding",7298,"Abby Booker","Spalding","2018+2019+2020","Abby","Booker",NA,927,23260,"D-III"
"154","Wis.-Whitewater",7370,"Abby Borchardt","Wis.-Whitewater","2024","Abby","Borchardt",NA,1007,805,"D-III"
"155","Wheaton (IL)",7514,"Abby Boss","Wheaton (IL)","2019+2020+2024","Abby","Boss",NA,988,778,"D-III"
"156","Puget Sound",8879,"Abby Brondos","Puget Sound","2018+2019+2020","Abby","Brondos",NA,872,557,"D-III"
"157","Rochester (NY)",8975,"Abby Broomfield","Rochester (NY)","2017+2018+2019","Abby","Broomfield",NA,886,581,"D-III"
"158","East Tex. Baptist",9035,"Abby Brown","Loyola Chicago + Georgia St. + Shorter + East Tex. Baptist","2020+2021+2022+2023+2024+2025","Abby","Brown",NA,695,1062,"D-III"
"159","Aurora",9323,"Abby Brownfield","Aurora","2018","Abby","Brownfield",NA,618,42,"D-III"
"160","Me.-Farmington",10007,"Abby Burdin","Me.-Farmington","2016","Abby","Burdin",NA,806,379,"D-III"
"161","Kean",10223,"Abby Burns","Wis.-Platteville + Kean","2018+2019+2020+2024+2023+2021","Abby","Burns",NA,759,329,"D-III"
"162","Webster",10310,"Abby Burroughs","Webster","2017+2018+2019+2020+2024","Abby","Burroughs",NA,977,759,"D-III"
"163","Western Univ. (CAN)",10414,"Abby Bush","Western Univ. (CAN)","2023","Abby","Bush",NA,NA,NA,"D-III"
"164","Wheaton (IL)",10505,"Abby Butler","Wheaton (IL)","2016+2017","Abby","Butler",NA,988,778,"D-III"
"165","Bridgewater (VA)",10683,"Abby Byrum","Bridgewater (VA)","2024+2025","Abby","Byrum",NA,639,75,"D-III"
"166","Illinois Col.",11162,"Abby Campbell","Illinois Col.","2016","Abby","Campbell",NA,751,297,"D-III"
"167","Capital",11304,"Abby Campredon","Capital","2025","Abby","Campredon",NA,650,117,"D-III"
"168","Warner Pacific",11726,"Abby Carlson","Warner Pacific","2022","Abby","Carlson",NA,NA,NA,"D-III"
"169","St. Joseph's (ME)",11864,"Abby Carpenter","St. Joseph's (ME)","2024+2022+2023+2025","Abby","Carpenter",NA,933,605,"D-III"
"170","New Jersey City",12543,"Abby Castro","New Jersey City","2022+2023+2024+2025","Abby","Castro",NA,837,319,"D-III"
"171","Heidelberg",13071,"Abby Chapman","Heidelberg","2024+2021","Abby","Chapman",NA,739,278,"D-III"
"172","Tufts",13208,"Abby Chau","Tufts","2025","Abby","Chau",NA,956,717,"D-III"
"173","Buena Vista",13875,"Abby Clark","Westfield St. + Buena Vista","2024+2025","Abby","Clark",NA,642,84,"D-III"
"174","Rhode Island Col.",14195,"Abby Clesas","Rhode Island Col.","2022+2023+2024+2025","Abby","Clesas",NA,881,571,"D-III"
"175","Calvin",14876,"Abby Colon","Calvin","2016+2018+2019+2020","Abby","Colon",NA,649,114,"D-III"
"176","Emmanuel (MA)",15082,"Abby Conley","Emmanuel (MA)","2019+2020+2024+2022","Abby","Conley",NA,706,215,"D-III"
"177","Baldwin Wallace",15839,"Abby Cosart","Baldwin Wallace","2018+2019+2020","Abby","Cosart",NA,622,46,"D-III"
"178","Wheaton (IL)",15995,"Abby Coulter","Wheaton (IL)","2024+2023","Abby","Coulter",NA,988,778,"D-III"
"179","Macalester",16130,"Abby Cox","Macalester","2016","Abby","Cox",NA,789,376,"D-III"
"180","Wilkes",16836,"Abby Cruz","Rider + Wilkes","2024+2025","Abby","Cruz",NA,993,784,"D-III"
"181","Wash. & Jeff.",17040,"Abby Cunningham","App State + Shippensburg + Wash. & Jeff.","2021+2022+2023+2024+2018+2016+2017","Abby","Cunningham",NA,973,751,"D-III"
"182","Wittenberg",17117,"Abby Curnutte","Wittenberg","2016+2017+2018+2019","Abby","Curnutte",NA,1008,806,"D-III"
"183","Culver-Stockton",17137,"Abby Currant","Culver-Stockton","2021","Abby","Currant",NA,NA,NA,"D-III"
"184","Carroll (WI)",17190,"Abby Curtis","Carroll (WI)","2023+2024+2025","Abby","Curtis",NA,654,120,"D-III"
"185","Concordia Portland",17520,"Abby Dalton","Concordia Portland","2019","Abby","Dalton",NA,NA,NA,"D-III"
"186","Iowa Wesleyan",17557,"Abby Dameron","Iowa Wesleyan","2020+2024+2021","Abby","Dameron",NA,NA,NA,"D-III"
"187","Ohio Northern",17914,"Abby Davis","Dayton + Lipscomb + Ohio Northern","2018+2019+2020+2021+2024","Abby","Davis",NA,848,517,"D-III"
"188","Wentworth",18897,"Abby Delia","Wentworth","2025","Abby","Delia",NA,980,762,"D-III"
"189","Brevard",18961,"Abby Delp","Brevard","2022+2023+2024","Abby","Delp",NA,638,30094,"D-III"
"190","SUNY Geneseo",19141,"Abby Dennett","SUNY Geneseo","2016+2017","Abby","Dennett",NA,899,247,"D-III"
"191","Me.-Presque Isle",20685,"Abby Doughty","Utah Valley + Fresno St. + Me.-Presque Isle","2019+2020+2021+2022+2023+2025","Abby","Doughty",NA,807,30040,"D-III"
"192","Neumann",20949,"Abby Driscoll","Neumann","2019","Abby","Driscoll",NA,835,1254,"D-III"
"193","Centre",21268,"Abby Duncan","Centre","2024+2022+2023","Abby","Duncan",NA,661,132,"D-III"
"194","Manchester",21875,"Abby Eberhardt","Adrian + Manchester","2022+2023+2024+2025","Abby","Eberhardt",NA,791,1192,"D-III"
"195","Wooster",21880,"Abby Eberly","Wooster","2022","Abby","Eberly",NA,1010,807,"D-III"
"196","Juniata",21899,"Abby Ebright","Juniata","2018+2016+2017+2019","Abby","Ebright",NA,757,325,"D-III"
"197","Chris. Newport",22215,"Abby Eichelberger","Chris. Newport","2018+2017","Abby","Eichelberger",NA,664,139,"D-III"
"198","Keuka",22270,"Abby Eising","Keuka","2024+2022","Abby","Eising",NA,762,1159,"D-III"
"199","Ohio Northern",22395,"Abby Elliott","Ohio Northern","2019+2020+2024+2022+2023","Abby","Elliott",NA,848,517,"D-III"
"200","Fredonia",22593,"Abby Emig","Fredonia","2020+2024","Abby","Emig",NA,719,242,"D-III"
"201","Regis (MA)",22822,"Abby Erickson","Regis (MA)","2022+2023+2024+2025","Abby","Erickson",NA,879,569,"D-III"
"202","Crowley's Ridge",23332,"Abby Ewing","Crowley's Ridge","2022","Abby","Ewing",NA,NA,NA,"D-III"
"203","Wash. & Jeff.",23390,"Abby Fabin","Wash. & Jeff.","2023","Abby","Fabin",NA,973,751,"D-III"
"204","John Carroll",23589,"Abby Farber","St. Bonaventure + John Carroll","2023+2024+2025","Abby","Farber",NA,755,320,"D-III"
"205","Thomas (ME)",23668,"Abby Farone","Thomas (ME)","2023+2024+2025","Abby","Farone",NA,950,2758,"D-III"
"206","VTSU Castleton",24145,"Abby Ferrara","VTSU Castleton","2017+2018","Abby","Ferrara",NA,965,123,"D-III"
"207","Mary Washington",24278,"Abby Fielder","Mary Washington","2023+2024+2025","Abby","Fielder",NA,799,390,"D-III"
"208","Penn St.-Berks",24365,"Abby Files","Penn St.-Berks","2018+2019","Abby","Files",NA,863,30044,"D-III"
"209","Concordia Portland",24522,"Abby Fischer","Concordia Portland","2020","Abby","Fischer",NA,NA,NA,"D-III"
"210","St. John Fisher",24739,"Abby Flakus","St. John Fisher","2019+2020+2024+2022","Abby","Flakus",NA,930,601,"D-III"
"211","Meredith",25535,"Abby Fowler","Meredith","2024+2025","Abby","Fowler",NA,810,409,"D-III"
"212","Transylvania",25847,"Abby Frazier","Transylvania","2020+2024+2022+2023","Abby","Frazier",NA,951,28749,"D-III"
"213","Wis.-Oshkosh",25969,"Abby Freismuth","Green Bay + Wis.-Oshkosh","2021+2022+2023+2024","Abby","Freismuth",NA,1002,798,"D-III"
"214","Blackburn",26002,"Abby Frerichs","Blackburn","2017+2018+2019","Abby","Frerichs",NA,634,64,"D-III"
"215","Wash. & Jeff.",26337,"Abby Fullem","Wash. & Jeff.","2024+2022+2023","Abby","Fullem",NA,973,751,"D-III"
"216","St. Lawrence",26749,"Abby Gallas","St. Lawrence","2025","Abby","Gallas",NA,934,607,"D-III"
"217","Wis.-Oshkosh",26988,"Abby Garceau","Wis.-Oshkosh","2022+2023+2024+2025","Abby","Garceau",NA,1002,798,"D-III"
"218","West Va. Tech",27559,"Abby Gates","West Va. Tech","2024","Abby","Gates",NA,NA,NA,"D-III"
"219","Luther",27729,"Abby Gehringer","Luther","2018+2019","Abby","Gehringer",NA,781,372,"D-III"
"220","Wis.-Stevens Point",27743,"Abby Geis","Wis.-Stevens Point","2024","Abby","Geis",NA,1004,802,"D-III"
"221","North Park",27813,"Abby Gentile","North Park","2016+2017","Abby","Gentile",NA,841,496,"D-III"
"222","Ripon",28284,"Abby Gilbertson","Ripon","2020+2024+2022+2023","Abby","Gilbertson",NA,883,577,"D-III"
"223","Hendrix",28286,"Abby Gilbreath","Hendrix","2020","Abby","Gilbreath",NA,740,1124,"D-III"
"224","Eastern Ore.",28302,"Abby Giles","Eastern Ore.","2020+2021+2024","Abby","Giles",NA,NA,NA,"D-III"
"225","Capital",28541,"Abby Gischel","Capital","2022","Abby","Gischel",NA,650,117,"D-III"
"226","Carleton",29262,"Abby Gooch","Carleton","2024+2025","Abby","Gooch",NA,651,118,"D-III"
