"","last_team","player_id","player","teams","seasons","first","last","headshot","...1","team_id","division"
"171","Goldey-Beacom",36784,"Abby Husser","Goldey-Beacom","2022+2023","Abby","Husser",NA,423,8366,"D-II"
"172","Maryville (MO)",37779,"Abby Jarvis","Maryville (MO)","2022","Abby","Jarvis",NA,463,395,"D-II"
"173","Northwestern Okla.",38233,"Abby Johnson","Quinnipiac + Loyola Chicago + Northwestern Okla.","2016+2025+2023","Abby","Johnson",NA,495,30178,"D-II"
"174","Northwood",39025,"Abby Joseph","Michigan St. + Northwood","2019+2020+2021+2022+2016+2017+2018","Abby","Joseph",NA,496,510,"D-II"
"175","Bemidji St.",40366,"Abby Kessel","Bemidji St.","2023","Abby","Kessel",NA,340,54,"D-II"
"176","Lander",40576,"Abby Killian","Lander","2019","Abby","Killian",NA,442,1167,"D-II"
"177","Missouri S&T",41098,"Abby Klein","Missouri S&T","2017+2018+2019+2020","Abby","Klein",NA,475,435,"D-II"
"178","AUM",42233,"Abby Krueger","AUM","2017+2018+2019+2020+2021","Abby","Krueger",NA,319,30093,"D-II"
"179","Ohio Dominican",42964,"Abby Lamping","Ohio Dominican","2016+2017+2018+2019","Abby","Lamping",NA,499,30119,"D-II"
"180","Caldwell",43281,"Abby Laphan","Caldwell","2022","Abby","Laphan",NA,358,995,"D-II"
"181","Regis (CO)",43391,"Abby Larsen","Nevada + Regis (CO)","2022+2023+2024+2025","Abby","Larsen",NA,511,568,"D-II"
"182","Okla. Baptist",43485,"Abby Laskowski","Okla. Baptist","2024+2025","Abby","Laskowski",NA,500,30202,"D-II"
"183","Southern N.H.",43509,"Abby Latham","Southern N.H.","2019+2020","Abby","Latham",NA,537,468,"D-II"
"184","Southwest Baptist",44155,"Abby Leer","Southwest Baptist","2025","Abby","Leer",NA,540,2755,"D-II"
"185","Arkansas Tech",44333,"Abby Leming","Arkansas Tech","2020","Abby","Leming",NA,331,947,"D-II"
"186","Augustana (SD)",44884,"Abby Lien","Iowa + Augustana (SD)","2019+2020+2021+2022+2023","Abby","Lien",NA,335,41,"D-II"
"187","Minot St.",45532,"Abby Lohse","Minot St.","2024+2022+2023+2025","Abby","Lohse",NA,473,30125,"D-II"
"188","West Virginia St.",46160,"Abby Loyd","West Virginia St.","2020+2021+2022","Abby","Loyd",NA,588,1439,"D-II"
"189","Eckerd",46206,"Abby Lucas","Eckerd","2024+2025","Abby","Lucas",NA,395,208,"D-II"
"190","UIndy",47146,"Abby Maguire","UIndy","2024+2025","Abby","Maguire",NA,565,309,"D-II"
"191","Southwest Baptist",48216,"Abby Martin","Samford + Drake + Southwest Baptist","2021+2024+2016","Abby","Martin",NA,540,2755,"D-II"
"192","Shepherd",49368,"Abby Mcbride","Shepherd","2023+2024+2025","Abby","Mcbride",NA,527,10870,"D-II"
"193","Saginaw Valley",50111,"Abby Mcgee","Saginaw Valley","2019","Abby","Mcgee",NA,516,591,"D-II"
"194","Simon Fraser",50186,"Abby Mcglynn","Simon Fraser","2022+2023+2024+2025","Abby","Mcglynn",NA,530,30127,"D-II"
"195","Upper Iowa",50368,"Abby Mckay","Upper Iowa","2020+2021","Abby","Mckay",NA,572,728,"D-II"
"196","West Ala.",50388,"Abby Mckee","West Ala.","2017+2018+2019+2020+2021","Abby","Mckee",NA,582,358,"D-II"
"197","Lee",50481,"Abby Mckinney","Lee","2017+2018+2019+2020+2021","Abby","Mckinney",NA,445,30013,"D-II"
"198","Northern St.",50924,"Abby Meads","Northern St.","2023+2024","Abby","Meads",NA,492,1266,"D-II"
"199","Ashland",50941,"Abby Measel","Ashland","2025","Abby","Measel",NA,332,35,"D-II"
"200","Davenport",51482,"Abby Merice","Davenport","2019","Abby","Merice",NA,386,30221,"D-II"
"201","Ferris St.",52712,"Abby Mitchelson","Ferris St.","2020+2021+2022","Abby","Mitchelson",NA,407,224,"D-II"
"202","West Chester",53821,"Abby Morrison","West Chester","2017","Abby","Morrison",NA,583,765,"D-II"
"203","MSU Moorhead",54206,"Abby Muelrath","MSU Moorhead","2020+2021","Abby","Muelrath",NA,458,1240,"D-II"
"204","Northwest Mo. St.",56063,"Abby Nolte","Northwest Mo. St.","2020+2021+2022+2023+2024","Abby","Nolte",NA,493,507,"D-II"
"205","Belmont Abbey",59229,"Abby Peisker","Belmont Abbey","2025","Abby","Peisker",NA,339,2683,"D-II"
"206","Young Harris",59346,"Abby Pendergrass","Young Harris","2025","Abby","Pendergrass",NA,599,30154,"D-II"
"207","Felician",60932,"Abby Poirot","Felician","2020+2021","Abby","Poirot",NA,406,23157,"D-II"
"208","Lincoln (MO)",62025,"Abby Pulliam","Lincoln (MO)","2024+2025","Abby","Pulliam",NA,450,356,"D-II"
"209","Walsh",63741,"Abby Reusser","Walsh","2016+2017","Abby","Reusser",NA,578,30141,"D-II"
"210","Alabama Huntsville",64845,"Abby Roberts","Alabama Huntsville","2016","Abby","Roberts",NA,323,10,"D-II"
"211","Lock Haven",64944,"Abby Robertson","Utah + California Baptist + Drury + Lock Haven","2018+2019+2020+2021+2025","Abby","Robertson",NA,454,360,"D-II"
"212","Emmanuel (GA)",65172,"Abby Rocco","Emmanuel (GA)","2022+2024+2025","Abby","Rocco",NA,400,30193,"D-II"
"213","Saint Martin's",66642,"Abby Runyon","Saint Martin's","2023+2020+2021+2022+2024","Abby","Runyon",NA,519,1343,"D-II"
"214","Southwest Minn. St.",66739,"Abby Russell","Southwest Minn. St.","2024+2022+2023+2025","Abby","Russell",NA,541,8736,"D-II"
"215","Chowan",66864,"Abby Rutledge","Chowan","2025","Abby","Rutledge",NA,372,8875,"D-II"
"216","Northern St.",66879,"Abby Rux","Northern St.","2024+2025","Abby","Rux",NA,492,1266,"D-II"
"217","California (PA)",67039,"Abby Sachse","California (PA)","2016+2017+2018+2019","Abby","Sachse",NA,359,106,"D-II"
"218","Southern Wesleyan",68787,"Abby Schreiner","Southern Wesleyan","2024+2025","Abby","Schreiner",NA,539,30192,"D-II"
"219","Seton Hill",71598,"Abby Smearman","Seton Hill","2023+2024+2025","Abby","Smearman",NA,525,30063,"D-II"
"220","Edinboro",72560,"Abby Sotter","Edinboro","2016+2017","Abby","Sotter",NA,396,209,"D-II"
"221","Western Ore.",73329,"Abby Stansbury","Eastern Nazarene + Western Ore.","2024+2025","Abby","Stansbury",NA,590,1446,"D-II"
"222","Tampa",74863,"Abby Sulte","Valdosta St. + Tampa","2022+2023+2024+2025","Abby","Sulte",NA,552,689,"D-II"
"223","Rollins",74873,"Abby Summers","FIU + Rollins","2016+2017+2018+2019","Abby","Summers",NA,514,584,"D-II"
